,tb_latitude,tb_longitude,collision_severity,type_of_collision,mviw,ped_action,DRIVE_DANGER_SCORE,WALK_DANGER_SCORE,AVERAGE_SCORE
11280,37.7809614943145,-122.408720941706,Injury (Complaint of Pain),Broadside,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11281,37.7572052099226,-122.387235872125,Injury (Complaint of Pain),Broadside,Other Object,No Pedestrian Involved,1,0,0.5
11282,37.7854822432105,-122.423027553262,Injury (Other Visible),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
11283,37.7825535929632,-122.397385538735,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11284,37.7841117115092,-122.412631126224,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11285,37.7336750175334,-122.426391165486,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11286,37.7423753982582,-122.421968762037,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11287,37.7758897033306,-122.415127952808,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
11288,37.7843313324396,-122.47250951461,Injury (Complaint of Pain),Rear End,Not Stated,No Pedestrian Involved,0,0,0.0
11289,37.7472263383883,-122.396139295937,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11290,37.7912981354098,-122.407322928784,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11291,37.7853726477758,-122.431366396652,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11292,37.7680064252402,-122.424411690028,Injury (Severe),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
11293,37.7213968694167,-122.448410648171,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11294,37.7874538442115,-122.414995423456,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
11295,37.7693908658356,-122.398617491909,Injury (Other Visible),Overturned,Other Object,No Pedestrian Involved,3,0,1.5
11296,37.7692440101304,-122.408007203383,Injury (Complaint of Pain),Head-On,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11297,37.7814995083039,-122.404933347246,Injury (Other Visible),Other,Non-Collision,No Pedestrian Involved,2,0,1.0
11298,37.7708474333369,-122.440357704399,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11299,37.7768835267871,-122.422978149514,Injury (Complaint of Pain),Not Stated,Non-Collision,No Pedestrian Involved,1,0,0.5
11300,37.797445140056,-122.410431160107,Injury (Severe),Rear End,Other Motor Vehicle,No Pedestrian Involved,8,0,4.0
11301,37.7602389016133,-122.419147329354,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11302,37.7618199338551,-122.419621311849,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11303,37.7844527300713,-122.408493157816,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,8,4.5
11304,37.7847098038874,-122.417805818992,Injury (Complaint of Pain),Head-On,Other Object,No Pedestrian Involved,1,0,0.5
11305,37.7295889710563,-122.43898319398,Injury (Other Visible),Hit Object,Parked Motor Vehicle,No Pedestrian Involved,3,0,1.5
11306,37.7801620258685,-122.407691415018,Injury (Complaint of Pain),Sideswipe,Not Stated,No Pedestrian Involved,0,0,0.0
11307,37.7837176376332,-122.437847943548,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
11308,37.7490047594269,-122.387456309881,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11309,37.7525920318627,-122.416285851586,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11310,37.7718777430869,-122.447312420905,Injury (Complaint of Pain),Other,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11311,37.7482553286494,-122.413668844445,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11312,37.7887356663393,-122.420019750325,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11313,37.78860232827,-122.450832025531,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
11314,37.7836804202061,-122.414583440982,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",1,6,3.5
11315,37.7290303657452,-122.392187247886,Injury (Complaint of Pain),Head-On,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11316,37.7871491442422,-122.40987401663,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11317,37.7422945327681,-122.423285561089,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
11318,37.7224619966334,-122.3955877505,Injury (Complaint of Pain),Head-On,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11319,37.8007463214519,-122.422737835698,Injury (Other Visible),Hit Object,Parked Motor Vehicle,No Pedestrian Involved,3,0,1.5
11320,37.8046643674075,-122.405954468518,Injury (Complaint of Pain),Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
11321,37.729222731782,-122.415192588389,Fatal,Not Stated,Non-Collision,No Pedestrian Involved,3,0,1.5
11322,37.7421943035841,-122.405776942383,Injury (Complaint of Pain),Not Stated,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11323,37.7827845320081,-122.435984593862,Injury (Other Visible),Hit Object,Fixed Object,No Pedestrian Involved,3,0,1.5
11324,37.7950058956713,-122.408091957678,Injury (Severe),Other,Pedestrian,"In Road, Including Shoulder",1,8,4.5
11325,37.7104785537174,-122.454885125325,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
11326,37.7270544752843,-122.483138732467,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
11327,37.7643888616306,-122.464190038107,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11328,37.7455554242174,-122.503709453797,Injury (Other Visible),Broadside,Parked Motor Vehicle,No Pedestrian Involved,3,0,1.5
11329,37.7795564813837,-122.404284202847,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
11330,37.7289084291469,-122.388633817723,Injury (Other Visible),Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,3,0,1.5
11331,37.7286811555755,-122.425220872957,Injury (Complaint of Pain),Other,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
11332,37.7332232625251,-122.391244493756,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11333,37.7819607663533,-122.420638250202,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11334,37.7277145786443,-122.413475098499,Injury (Other Visible),Rear End,Parked Motor Vehicle,No Pedestrian Involved,3,0,1.5
11335,37.7711419340926,-122.44553527749,Injury (Other Visible),Head-On,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
11336,37.7770699623781,-122.413648236509,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
11337,37.7776691087729,-122.446846470157,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
11338,37.7347973596951,-122.390693772588,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
11339,37.7715786765985,-122.411277936993,Injury (Complaint of Pain),Not Stated,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11340,37.7419502412922,-122.386554541473,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11341,37.7825785372538,-122.472451060868,Injury (Complaint of Pain),Head-On,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11342,37.7145671979626,-122.442661526472,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11343,37.7611120141258,-122.421522004126,Injury (Severe),Broadside,Not Stated,Crossing Not in Crosswalk,0,0,0.0
11344,37.7164595462284,-122.441019561541,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11345,37.7715786765985,-122.411277936993,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,8,4.5
11346,37.7780587947711,-122.414374736783,Injury (Complaint of Pain),Sideswipe,Other Object,"In Road, Including Shoulder",1,1,1.0
11347,37.7823083803553,-122.478443506533,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
11348,37.7500826090282,-122.443347263529,Injury (Other Visible),Overturned,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
11349,37.7843514337363,-122.409292109515,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,8,4.5
11350,37.7269906996446,-122.47490034444,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,8,4.5
11351,37.729871800995,-122.451221693894,Injury (Complaint of Pain),Overturned,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
11352,37.8003154992466,-122.410206544202,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11353,37.7802601327435,-122.418598509466,Injury (Other Visible),Broadside,Other Object,No Pedestrian Involved,3,0,1.5
11354,37.7992123669884,-122.440977561708,Injury (Other Visible),Rear End,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
11355,37.8002601138287,-122.432760489446,Injury (Other Visible),Rear End,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
11356,37.7619467707538,-122.444195856164,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,1,0,0.5
11357,37.7755335504647,-122.406271416898,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11358,37.7807161336129,-122.469521656338,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",0,3,1.5
11359,37.7404127101241,-122.406776103318,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11360,37.7182793891709,-122.425834817271,Injury (Complaint of Pain),Head-On,Motor Vehicle on Other Roadway,No Pedestrian Involved,2,0,1.0
11361,37.774598785469,-122.425888498795,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11362,37.7734669214106,-122.391434334725,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11363,37.7720866952446,-122.479201191605,Injury (Other Visible),Hit Object,Fixed Object,No Pedestrian Involved,3,0,1.5
11364,37.7609450325211,-122.494139741645,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11365,37.7731619820026,-122.471240067187,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11366,37.7412282260019,-122.479863952265,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",1,6,3.5
11367,37.7670066807359,-122.448013160725,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11368,37.7509025805358,-122.413925772497,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11369,37.7239841054601,-122.388600672729,Injury (Complaint of Pain),Rear End,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
11370,37.7906727839871,-122.412266187112,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11371,37.7256440575034,-122.434071380644,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,6,3.5
11372,37.7714283948285,-122.453979522907,Injury (Complaint of Pain),Broadside,Not Stated,No Pedestrian Involved,0,0,0.0
11373,37.7358402972005,-122.442623672054,Injury (Complaint of Pain),Hit Object,Fixed Object,No Pedestrian Involved,1,0,0.5
11374,37.7730360509542,-122.421941247538,Injury (Complaint of Pain),Broadside,Not Stated,No Pedestrian Involved,0,0,0.0
11375,37.7212379616277,-122.437364517006,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11376,37.7615465521124,-122.435061139429,Injury (Complaint of Pain),Other,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11377,37.7743884676644,-122.427546416009,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11378,37.7787280207607,-122.472173618888,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
11379,37.7749917920084,-122.410062770637,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11380,37.7522331267996,-122.418548692959,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11381,37.7731373652421,-122.47179665331,Injury (Complaint of Pain),Head-On,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11382,37.7626436475115,-122.509684420584,Injury (Complaint of Pain),Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
11383,37.7338525192118,-122.471763358298,Injury (Complaint of Pain),Hit Object,Fixed Object,No Pedestrian Involved,1,0,0.5
11384,37.7794587153476,-122.402377492041,Injury (Other Visible),Broadside,Not Stated,No Pedestrian Involved,0,0,0.0
11385,37.7829860472745,-122.427584324914,Injury (Complaint of Pain),Head-On,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11386,37.765391395292,-122.477512697088,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11387,37.7447285534358,-122.480103074308,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11388,37.7649773585631,-122.419661846878,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11389,37.7122291513777,-122.432315163119,Injury (Severe),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,8,4.5
11390,37.7966560928141,-122.423628789467,Injury (Other Visible),Hit Object,Fixed Object,No Pedestrian Involved,3,0,1.5
11391,37.7315306468977,-122.453411342982,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11392,37.7930271579566,-122.393438932408,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11393,37.7141973201947,-122.43610199194,Fatal,Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,2,10,6.0
11394,37.770937761803,-122.479244425981,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11395,37.7482121505997,-122.415862792677,Fatal,Broadside,Other Motor Vehicle,No Pedestrian Involved,10,0,5.0
11396,37.784852533859,-122.465632311568,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11397,37.7430852626338,-122.474882437344,Injury (Complaint of Pain),Not Stated,Fixed Object,No Pedestrian Involved,1,0,0.5
11398,37.7833084873587,-122.439480381845,Injury (Other Visible),Not Stated,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
11399,37.71248257279,-122.430300574825,Fatal,Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,2,10,6.0
11400,37.7862481522375,-122.402025419823,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11401,37.7650722074865,-122.397737381883,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11402,37.7625882170784,-122.412874440225,Injury (Severe),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
11403,37.7134796078192,-122.415202652292,Injury (Complaint of Pain),Rear End,Motor Vehicle on Other Roadway,No Pedestrian Involved,2,0,1.0
11404,37.7690584533912,-122.435794213349,Injury (Complaint of Pain),Not Stated,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11405,37.7864810390017,-122.401730660683,Injury (Other Visible),Sideswipe,Bicycle,No Pedestrian Involved,2,0,1.0
11406,37.7833108898927,-122.417528773168,Injury (Other Visible),Other,Not Stated,Not in Road,0,0,0.0
11407,37.7842832913724,-122.421170987098,Injury (Other Visible),Broadside,Other Object,No Pedestrian Involved,3,0,1.5
11408,37.7464971976803,-122.41930136167,Injury (Other Visible),Other,Bicycle,No Pedestrian Involved,2,0,1.0
11409,37.7994253114494,-122.439336654095,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
11410,37.748151025835,-122.418230662048,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11411,37.7417646814393,-122.504620446252,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11412,37.7775881545098,-122.408898871471,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,1,6,3.5
11413,37.7347973596951,-122.390693772588,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11414,37.7462009690906,-122.394116709453,Injury (Severe),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",1,8,4.5
11415,37.7776289342485,-122.406724471141,Injury (Complaint of Pain),Broadside,Motor Vehicle on Other Roadway,No Pedestrian Involved,2,0,1.0
11416,37.7897625990589,-122.397574467016,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11417,37.7422250273182,-122.494443285074,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11418,37.7229665717039,-122.444746624044,Injury (Severe),Other,Other Object,No Pedestrian Involved,4,0,2.0
11419,37.7458819287243,-122.476965319431,Injury (Complaint of Pain),Hit Object,Fixed Object,No Pedestrian Involved,1,0,0.5
11420,37.7088063372727,-122.452664722606,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11421,37.7990666842308,-122.427457295946,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11422,37.780971183063,-122.408708673534,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Not Stated,1,6,3.5
11423,37.7142094837665,-122.436176464468,Injury (Other Visible),Broadside,Other Motor Vehicle,Not in Road,6,2,4.0
11424,37.7960503687292,-122.406219196387,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing Not in Crosswalk,0,3,1.5
11425,37.7603574515872,-122.417184319044,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11426,37.781140515295,-122.446971220095,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11427,37.769591160587,-122.415577015228,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
11428,37.7643735100039,-122.43088215351,Injury (Complaint of Pain),Head-On,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11429,37.7314280967759,-122.40891444882,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11430,37.7712907920161,-122.408531081992,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11431,37.7751470744978,-122.419255606435,Injury (Severe),Other,Fixed Object,No Pedestrian Involved,4,0,2.0
11432,37.7756260884587,-122.432829727995,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11433,37.7731931519968,-122.445942202755,Injury (Complaint of Pain),Head-On,Fixed Object,No Pedestrian Involved,1,0,0.5
11434,37.7523291021003,-122.477414977754,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11435,37.7197049969067,-122.438524520941,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11436,37.7873391636328,-122.42340359343,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11437,37.764303310839,-122.410474198627,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11438,37.732596779542,-122.427462206653,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11439,37.784422148225,-122.416276537357,Injury (Complaint of Pain),Broadside,Other Object,No Pedestrian Involved,1,0,0.5
11440,37.7765408937212,-122.417501462587,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,1,6,3.5
11441,37.7775462072639,-122.447802194076,Injury (Other Visible),Broadside,Bicycle,No Pedestrian Involved,2,0,1.0
11442,37.7626276425284,-122.460842964292,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11443,37.7164595462284,-122.441019561541,Injury (Complaint of Pain),Not Stated,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11444,37.778020760958,-122.421520698543,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11445,37.7666914604338,-122.392661868188,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
11446,37.7861010396505,-122.418088097502,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11447,37.7855874803924,-122.418423172078,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Not in Road,0,3,1.5
11448,37.7481252830041,-122.420278829765,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11449,37.7619386036175,-122.417657930321,Injury (Complaint of Pain),Other,Non-Collision,No Pedestrian Involved,1,0,0.5
11450,37.7678690191533,-122.426693184474,Injury (Severe),Broadside,Other Motor Vehicle,No Pedestrian Involved,8,0,4.0
11451,37.780971183063,-122.408708673534,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11452,37.780092582972,-122.484732261494,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11453,37.7874538442115,-122.414995423456,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11454,37.7121794860998,-122.40245947948,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11455,37.776643928769,-122.476964849931,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,1,0,0.5
11456,37.7740849748937,-122.422407116539,Injury (Complaint of Pain),Broadside,Motor Vehicle on Other Roadway,No Pedestrian Involved,2,0,1.0
11457,37.7855202129826,-122.415112455101,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11458,37.7342769369396,-122.448893154869,Injury (Severe),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",1,8,4.5
11459,37.7501183407544,-122.390433038374,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11460,37.7651414066093,-122.483542102308,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11461,37.7574413864049,-122.463704954743,Injury (Complaint of Pain),Not Stated,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11462,37.746913044498,-122.444986731243,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11463,37.7849440070974,-122.43472999091,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11464,37.7224701223402,-122.439514365608,Injury (Complaint of Pain),Sideswipe,Parked Motor Vehicle,No Pedestrian Involved,1,0,0.5
11465,37.754145768072,-122.478615694709,Injury (Complaint of Pain),Sideswipe,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11466,37.7506396500887,-122.418287870245,Injury (Complaint of Pain),Rear End,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11467,37.7562952026649,-122.441065223129,Injury (Severe),Not Stated,Fixed Object,No Pedestrian Involved,4,0,2.0
11468,37.7467751399368,-122.419121301114,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11469,37.7744766169505,-122.41691297877,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11470,37.7704356753752,-122.510925946708,Injury (Complaint of Pain),Sideswipe,Bicycle,No Pedestrian Involved,1,0,0.5
11471,37.7715786765985,-122.411277936993,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11472,37.7211553067383,-122.447751554247,Injury (Complaint of Pain),Not Stated,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11473,37.7619675284221,-122.417178935959,Injury (Complaint of Pain),Vehicle/Pedestrian,Pedestrian,Crossing in Crosswalk at Intersection,0,3,1.5
11474,37.7515945554223,-122.406207376973,Injury (Complaint of Pain),Hit Object,Fixed Object,No Pedestrian Involved,1,0,0.5
11475,37.7816455842431,-122.430609199512,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11476,37.7831692459971,-122.472423970348,Injury (Complaint of Pain),Rear End,Motor Vehicle on Other Roadway,No Pedestrian Involved,2,0,1.0
11477,37.7960945697482,-122.420109524283,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11478,37.7759532291575,-122.40884574926,Injury (Other Visible),Vehicle/Pedestrian,Pedestrian,"In Road, Including Shoulder",1,6,3.5
11479,37.8026186125804,-122.440780071585,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
11480,37.78050335092,-122.474250456196,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11481,37.7098873014047,-122.498036893859,Injury (Complaint of Pain),Sideswipe,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11482,37.8049052686994,-122.41684449,Injury (Other Visible),Rear End,Bicycle,No Pedestrian Involved,2,0,1.0
11483,37.720724223985,-122.446608650168,Injury (Complaint of Pain),Broadside,Bicycle,No Pedestrian Involved,1,0,0.5
11484,37.7651831347103,-122.417486594571,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
11485,37.7311685322644,-122.426161767203,Injury (Other Visible),Broadside,Other Motor Vehicle,No Pedestrian Involved,6,0,3.0
11486,37.7849440070974,-122.43472999091,Injury (Complaint of Pain),Broadside,Other Motor Vehicle,No Pedestrian Involved,3,0,1.5
